bigram,log_odds_ratio
card delivered,-2.1268
card text,-2.1113
text message,-2.1113
card amazon,-1.9409
need refund,-1.9409
cancel order,-1.8921
amazon told,-1.8656
bait switch,-1.8656
card purchase,-1.8656
completely unacceptable,-1.8656
told could,-1.8656
get credit,-1.8373
send another,-1.8373
send email,-1.8373
card almost,-1.8072
card turn,-1.8072
choose option,-1.8072
credit given,-1.8072
done immediately,-1.8072
else amazon,-1.8072
even aware,-1.8072
five minute,-1.8072
means anything,-1.8072
purchase time,-1.8072
send gift,-1.8072
still showed,-1.8072
switch amazon,-1.8072
text phone,-1.8072
told amazon,-1.8072
told wait,-1.8072
turn would,-1.8072
via text,-1.8072
false advertising,-1.7748
sent back,-1.7398
called amazon,-1.7042
defective product,-1.7018
high hopes,-1.7018
parental controls,-1.6837
complete waste,-1.6601
received one,-1.6601
email link,-1.6341
child purchased,-1.6142
extremely disappointed,-1.6142
taste mouth,-1.5911
tried buy,-1.5911
amazon never,-1.5645
send amazon,-1.5645
beware amazon,-1.5363
much desired,-1.5363
card redeemed,-1.5061
experience amazon,-1.5061
get also,-1.5061
given gift,-1.5061
immediately would,-1.5061
information sent,-1.5061
later get,-1.5061
number gift,-1.5061
reviews others,-1.5061
talking customer,-1.5061
card balance,-1.5046
going return,-1.5046
read star,-1.5046
really even,-1.5046
want money,-1.5046
buyer beware,-1.4846
fine print,-1.4426
acts like,-1.4374
amazon customers,-1.4374
back another,-1.4374
called number,-1.4374
connect wifi,-1.4374
much worse,-1.4374
one disappointing,-1.4374
received amazon,-1.4374
still waiting,-1.4374
way turn,-1.4374
would return,-1.4374
zero water,-1.4374
sending back,-1.4007
card would,-1.3601
wanted pay,-1.3601
big mistake,-1.3591
disappointed product,-1.3591
wasted money,-1.3591
amazon music,-1.3580
another solution,-1.3580
book actually,-1.3580
bought game,-1.3580
box received,-1.3580
buy get,-1.3580
cameras great,-1.3580
cannot return,-1.3580
cant get,-1.3580
even last,-1.3580
far worst,-1.3580
formula changed,-1.3580
gift amazon,-1.3580
know amazon,-1.3580
never purchase,-1.3580
ordered gift,-1.3580
original look,-1.3580
plastic piece,-1.3580
purchased three,-1.3580
put hold,-1.3580
quality amazon,-1.3580
return item,-1.3580
see someone,-1.3580
show good,-1.3580
time guess,-1.3580
tried help,-1.3580
two devices,-1.3580
weeks one,-1.3580
wish read,-1.3580
worse one,-1.3580
contacted customer,-1.3387
amazon took,-1.3299
bed thinking,-1.3299
buy button,-1.3299
could rate,-1.3299
leave much,-1.3299
whole experience,-1.3299
would done,-1.3150
cheaply made,-1.3131
much rather,-1.3131
amazon website,-1.2899
like idea,-1.2899
could help,-1.2856
also way,-1.2634
two times,-1.2634
get refund,-1.2625
design flaw,-1.2617
absolute worst,-1.2609
almost empty,-1.2609
almost seems,-1.2609
already opened,-1.2609
amazon almost,-1.2609
amazon store,-1.2609
anything got,-1.2609
app work,-1.2609
area would,-1.2609
bad part,-1.2609
book bad,-1.2609
book came,-1.2609
book sometimes,-1.2609
buy code,-1.2609
buy want,-1.2609
called support,-1.2609
city coast,-1.2609
clear product,-1.2609
common problem,-1.2609
completely stopped,-1.2609
days one,-1.2609
devices get,-1.2609
dog got,-1.2609
doorbell pro,-1.2609
else got,-1.2609
enough never,-1.2609
every book,-1.2609
everyone left,-1.2609
finally figured,-1.2609
fine water,-1.2609
first purchase,-1.2609
get connect,-1.2609
give negative,-1.2609
given option,-1.2609
grams sugar,-1.2609
idea good,-1.2609
immediately return,-1.2609
instead getting,-1.2609
jump hoops,-1.2609
kid would,-1.2609
late return,-1.2609
let begin,-1.2609
like chemicals,-1.2609
like series,-1.2609
live middle,-1.2609
makes fine,-1.2609
many friends,-1.2609
maybe less,-1.2609
mean one,-1.2609
motion detector,-1.2609
non amazon,-1.2609
old ordered,-1.2609
one fact,-1.2609
one sent,-1.2609
one step,-1.2609
pages book,-1.2609
people loved,-1.2609
people read,-1.2609
phone call,-1.2609
poorly made,-1.2609
predictable unbelievable,-1.2609
product supposed,-1.2609
purchased target,-1.2609
really stinks,-1.2609
reasonable excuse,-1.2609
red flags,-1.2609
sad say,-1.2609
seemed great,-1.2609
sent two,-1.2609
someone stole,-1.2609
speak really,-1.2609
spent time,-1.2609
take responsibility,-1.2609
thin cheap,-1.2609
think got,-1.2609
think reading,-1.2609
thinking going,-1.2609
time anything,-1.2609
twist end,-1.2609
two filters,-1.2609
unable resolve,-1.2609
update amazon,-1.2609
vice versa,-1.2609
wait weeks,-1.2609
wasted much,-1.2609
would destroyed,-1.2609
would named,-1.2609
would stick,-1.2609
years left,-1.2609
years overall,-1.2609
money back,-1.2424
waste money,-1.2357
another person,-1.2351
easy fix,-1.2351
wanted buy,-1.2351
box set,-1.2245
told would,-1.2180
phone number,-1.2064
could least,-1.2050
even said,-1.2050
amazon sent,-1.2035
cards amazon,-1.2035
get quality,-1.2035
really disappointed,-1.2035
sesame street,-1.2035
wasting time,-1.2035
purchase amazon,-1.1850
bad batch,-1.1829
read another,-1.1829
thinking would,-1.1625
quality control,-1.1598
amazon customer,-1.1413
later still,-1.1388
would bought,-1.1388
purchase gift,-1.1382
tried use,-1.1376
called customer,-1.1369
contacted amazon,-1.1369
amazon would,-1.1363
card already,-1.1363
caught fruit,-1.1363
coffee grounds,-1.1363
decided check,-1.1363
everything seemed,-1.1363
last half,-1.1363
normal thing,-1.1363
thought good,-1.1363
would longer,-1.1363
accidental purchase,-1.1357
accidentally bought,-1.1357
actually write,-1.1357
also applies,-1.1357
also fact,-1.1357
also tell,-1.1357
always always,-1.1357
amazon actually,-1.1357
amazon allows,-1.1357
another location,-1.1357
anyone know,-1.1357
anything remotely,-1.1357
anything touches,-1.1357
anywhere without,-1.1357
apps available,-1.1357
assistance sent,-1.1357
attached two,-1.1357
author decided,-1.1357
back patio,-1.1357
bad buy,-1.1357
bank account,-1.1357
battery dies,-1.1357
began feel,-1.1357
beginning story,-1.1357
best seller,-1.1357
better buying,-1.1357
better read,-1.1357
book talk,-1.1357
book talks,-1.1357
books seriously,-1.1357
bottle comes,-1.1357
bought hoping,-1.1357
bought reviews,-1.1357
buy best,-1.1357
called since,-1.1357
came life,-1.1357
card sitting,-1.1357
card still,-1.1357
care told,-1.1357
careful buying,-1.1357
caught one,-1.1357
change update,-1.1357
characters looks,-1.1357
cheap feeling,-1.1357
cheaper looking,-1.1357
child able,-1.1357
color matched,-1.1357
company like,-1.1357
company said,-1.1357
continues take,-1.1357
control pills,-1.1357
cord past,-1.1357
covered plastic,-1.1357
cringe worthy,-1.1357
day read,-1.1357
day special,-1.1357
device bigger,-1.1357
device change,-1.1357
device without,-1.1357
disappointed kids,-1.1357
dog also,-1.1357
doorbell chime,-1.1357
drink several,-1.1357
drive store,-1.1357
dropped ball,-1.1357
easily done,-1.1357
end onto,-1.1357
enthusiast love,-1.1357
even darker,-1.1357
even well,-1.1357
events happened,-1.1357
every category,-1.1357
expect great,-1.1357
experience goes,-1.1357
fact set,-1.1357
fall ever,-1.1357
far far,-1.1357
fell flat,-1.1357
filter came,-1.1357
filters also,-1.1357
finally read,-1.1357
find anywhere,-1.1357
find matter,-1.1357
find plastic,-1.1357
first cup,-1.1357
first everything,-1.1357
flick top,-1.1357
frustrating experience,-1.1357
future murder,-1.1357
game based,-1.1357
generation kindle,-1.1357
get hooked,-1.1357
get smell,-1.1357
get thing,-1.1357
gets beautiful,-1.1357
gift know,-1.1357
gift really,-1.1357
gift tell,-1.1357
give amazon,-1.1357
give dog,-1.1357
given reviews,-1.1357
going getting,-1.1357
going months,-1.1357
good housekeeping,-1.1357
good person,-1.1357
got amazon,-1.1357
got pregnant,-1.1357
great however,-1.1357
haha even,-1.1357
hair salon,-1.1357
hear someone,-1.1357
help product,-1.1357
home security,-1.1357
hours first,-1.1357
husband lbs,-1.1357
ice even,-1.1357
ingredients list,-1.1357
inside home,-1.1357
issue got,-1.1357
item description,-1.1357
job got,-1.1357
job great,-1.1357
kind girl,-1.1357
kind story,-1.1357
knew book,-1.1357
know cards,-1.1357
know purchase,-1.1357
know two,-1.1357
like bad,-1.1357
like problems,-1.1357
